category,subcategory,n_plays,mean_RTS,median_RTS,std_RTS,mean_RTS_scaled,median_RTS_scaled,std_RTS_scaled,mean_temporal_score,mean_spatial_score,mean_temporal_score_scaled,mean_spatial_score_scaled,mean_temporal_error_sec,mean_spatial_error_yards,completion_rate,mean_epa
Overall,All Plays,7108,49.94724465325419,50.0,18.612026967605026,62.62005240938715,63.768115942028984,22.849158849337204,49.95075277895033,49.95075970737197,75.24361770447818,50.00352193603019,0.16886168566202334,4.891615214349465,0.678671918964547,0.23246448751282864
Passer,AJ McCarron,1,43.27,43.27,,49.39,49.39,,44.5,42.03,56.72,42.07,0.2,2.95,1.0,0.15
Passer,Aidan O'Connell,140,50.18,50.37,18.01,62.05,60.85,21.47,48.54,51.83,72.22,51.87,0.17,4.67,0.65,0.22
Passer,Andy Dalton,27,51.65,49.42,17.48,65.71,65.36,20.74,53.04,50.26,81.12,50.3,0.11,4.79,0.59,0.26
Passer,Anthony Richardson,32,48.01,44.71,16.41,61.38,60.4,20.28,49.88,46.14,76.56,46.2,0.15,5.43,0.53,-0.14
Passer,Bailey Zappe,77,47.89,43.59,21.54,59.64,57.9,26.01,46.1,49.69,69.55,49.74,0.22,5.3,0.56,-0.34
Passer,Baker Mayfield,264,49.09,49.7,17.98,61.65,63.68,22.61,47.68,50.51,72.74,50.56,0.18,5.1,0.66,0.26
Passer,Blaine Gabbert,10,46.46,46.83,21.44,55.87,56.81,26.52,40.55,52.37,59.33,52.42,0.22,5.4,0.6,-0.52
Passer,Brett Rypien,17,45.52,45.48,24.08,59.05,64.26,29.92,49.47,41.58,76.47,41.64,0.2,6.36,0.41,-0.52
Passer,Brian Hoyer,22,52.3,49.33,19.53,66.17,65.57,23.06,50.82,53.78,78.5,53.83,0.08,5.21,0.5,-0.4
Passer,Brock Purdy,204,48.83,47.76,17.35,62.07,62.06,21.94,49.64,48.01,76.06,48.07,0.19,5.01,0.68,0.44
Passer,Bryce Young,216,50.49,49.35,19.0,62.75,63.38,23.04,49.55,51.44,74.0,51.5,0.18,4.98,0.61,0.02
Passer,C.J. Beathard,20,47.87,49.39,19.6,59.91,67.21,24.95,47.27,48.48,71.29,48.52,0.28,4.28,0.8,0.41
Passer,C.J. Stroud,239,48.23,47.59,18.18,61.51,62.49,22.36,51.59,44.86,78.1,44.91,0.13,5.29,0.69,0.42
Passer,Carson Wentz,8,47.85,50.35,21.85,57.74,60.94,23.94,42.41,53.29,62.14,53.34,0.15,6.5,0.75,0.83
Passer,Case Keenum,21,48.33,48.36,15.65,61.69,60.31,18.61,52.49,44.18,79.16,44.22,0.07,4.98,0.71,0.66
Passer,Clayton Tune,3,57.52,58.82,18.36,72.14,74.9,25.32,52.06,62.97,81.16,63.12,0.03,3.86,0.0,-2.69
Passer,Cooper Rush,8,49.28,42.95,21.33,61.92,56.55,23.89,59.39,39.16,84.65,39.19,0.06,4.5,0.88,0.14
Passer,Dak Prescott,249,52.0,53.26,18.32,64.92,67.84,22.77,50.69,53.3,76.48,53.35,0.17,4.51,0.72,0.37
Passer,Daniel Jones,64,57.15,57.71,16.34,70.56,74.48,20.19,53.39,60.91,80.15,60.97,0.09,3.36,0.81,0.11
Passer,Davis Mills,22,43.16,41.42,21.75,54.67,59.72,28.05,41.75,44.57,64.69,44.64,0.29,5.29,0.59,0.2
Passer,Derek Carr,207,50.25,50.48,19.25,63.08,63.39,23.56,50.8,49.7,76.41,49.75,0.19,5.12,0.72,0.24
Passer,Derrick Henry,1,36.03,36.03,,52.1,52.1,,67.87,4.19,100.0,4.2,0.0,7.59,1.0,2.89
Passer,Deshaun Watson,63,51.79,51.16,20.62,62.99,66.1,25.39,48.46,55.12,70.8,55.17,0.22,3.95,0.65,0.0
Passer,Desmond Ridder,149,52.51,53.36,18.44,65.32,66.97,22.75,50.02,54.99,75.59,55.06,0.14,4.53,0.66,0.05
Passer,Dorian Thompson-Robinson,41,52.47,55.16,19.46,63.59,65.22,23.5,48.67,56.28,70.83,56.34,0.13,4.06,0.59,-0.28
Passer,Drew Lock,27,43.35,41.55,20.69,54.62,57.4,25.04,44.36,42.34,66.86,42.38,0.23,5.98,0.59,0.08
Passer,Easton Stick,61,45.89,44.83,19.6,56.09,55.76,24.41,40.69,51.09,61.05,51.13,0.3,5.23,0.66,0.27
Passer,Gardner Minshew,201,51.89,51.36,18.48,64.22,65.47,22.78,49.84,53.94,74.43,54.0,0.22,4.29,0.69,0.19
Passer,Geno Smith,182,47.54,48.42,19.7,59.42,61.94,24.23,47.65,47.43,71.35,47.48,0.2,4.74,0.71,0.29
Passer,Jacoby Brissett,13,43.76,41.77,18.27,52.37,52.72,23.44,38.33,49.18,55.5,49.23,0.36,4.19,0.77,0.68
Passer,Jake Browning,94,49.86,50.86,18.61,62.43,65.2,22.53,52.88,46.83,77.97,46.88,0.24,4.79,0.68,0.28
Passer,Jalen Hurts,197,49.31,47.62,17.27,62.04,60.8,21.4,50.47,48.16,75.86,48.21,0.15,4.81,0.76,0.35
Passer,Jameis Winston,18,45.29,41.08,23.84,54.47,56.11,29.02,35.29,55.29,53.62,55.33,0.31,4.67,0.44,-0.29
Passer,Jared Goff,274,50.62,50.7,17.67,63.53,64.61,22.01,49.89,51.35,75.65,51.41,0.16,4.72,0.69,0.37
Passer,Jaren Hall,11,51.92,59.25,19.61,65.13,66.51,24.33,51.32,52.51,77.7,52.57,0.16,5.02,0.64,-0.19
Passer,Jarrett Stidham,19,53.18,57.96,21.47,67.18,73.88,26.35,54.69,51.66,82.65,51.72,0.18,4.89,0.63,0.66
Passer,Jeff Driskel,8,47.26,47.61,20.66,59.23,60.76,26.46,48.87,45.66,72.76,45.7,0.15,5.01,0.25,-0.98
Passer,Jimmy Garoppolo,66,55.19,54.86,18.26,68.2,69.35,21.96,54.99,55.39,80.96,55.45,0.08,4.51,0.7,0.16
Passer,Joe Burrow,138,52.98,53.97,18.04,65.42,68.0,21.85,51.57,54.39,76.39,54.44,0.13,4.04,0.75,0.51
Passer,Joe Flacco,67,46.4,43.96,19.59,58.32,59.86,24.24,45.67,47.14,69.45,47.19,0.24,5.49,0.63,0.07
Passer,Jordan Love,225,48.07,46.0,18.02,61.4,61.62,21.16,51.92,44.23,78.52,44.27,0.15,5.64,0.67,0.32
Passer,Josh Allen,200,51.29,53.24,18.38,63.15,66.07,23.01,48.53,54.04,72.19,54.1,0.17,4.33,0.71,0.2
Passer,Joshua Dobbs,196,49.03,49.1,19.04,61.5,62.86,23.31,49.23,48.83,74.11,48.89,0.15,4.81,0.68,0.21
Passer,Justin Fields,112,47.97,47.22,16.81,60.74,61.09,21.08,48.86,47.07,74.36,47.12,0.15,5.17,0.68,0.38
Passer,Justin Herbert,175,51.23,51.76,18.45,63.81,64.16,22.74,50.1,52.37,75.19,52.43,0.17,4.51,0.71,0.38
Passer,Kenny Pickett,114,52.43,55.72,18.65,65.32,66.55,23.22,49.99,54.87,75.73,54.92,0.16,4.47,0.68,0.18
Passer,Kirk Cousins,146,47.64,46.85,18.57,59.59,60.53,23.28,46.85,48.42,70.7,48.48,0.22,4.77,0.73,0.43
Passer,Kyle Trask,1,52.2,52.2,,72.88,72.88,,58.81,45.59,100.0,45.77,0.0,10.99,0.0,-1.94
Passer,Kyler Murray,91,49.77,48.29,18.06,63.3,65.41,21.94,52.21,47.32,79.22,47.37,0.18,5.18,0.74,0.43
Passer,Lamar Jackson,175,51.24,52.62,18.19,63.8,65.04,22.24,51.21,51.28,76.27,51.33,0.17,4.79,0.73,0.54
Passer,Logan Woodside,1,49.6,49.6,,50.73,50.73,,4.61,94.58,6.76,94.71,1.1,0.76,0.0,-9.99
Passer,Mac Jones,132,47.89,47.31,17.08,60.72,61.84,21.72,49.13,46.65,74.75,46.69,0.19,5.29,0.67,0.05
Passer,Malik Willis,2,52.6,52.6,23.03,71.37,71.37,23.04,62.47,42.73,100.0,42.75,0.0,6.2,1.0,0.13
Passer,Marcus Mariota,10,44.16,45.3,25.02,55.86,59.89,30.66,46.14,42.17,69.52,42.21,0.2,4.85,0.8,0.43
Passer,Mason Rudolph,20,54.92,56.09,12.78,72.22,72.68,13.1,61.4,48.44,95.98,48.47,0.02,5.1,0.9,0.95
Passer,Matthew Stafford,235,48.63,48.49,19.59,62.15,64.37,23.28,52.72,44.55,79.7,44.59,0.11,5.62,0.63,0.25
Passer,Mitchell Trubisky,37,48.84,45.72,22.51,60.52,60.33,26.31,51.69,45.99,75.01,46.03,0.16,5.51,0.73,0.28
Passer,Nick Mullens,68,48.98,50.46,17.5,63.26,63.1,21.12,52.75,45.22,81.25,45.28,0.1,5.79,0.71,0.31
Passer,P.J. Walker,38,46.34,45.0,18.0,60.07,59.52,21.64,54.66,38.02,82.08,38.06,0.16,6.15,0.45,-0.27
Passer,Patrick Mahomes,210,51.3,52.32,19.35,63.46,66.57,24.4,47.85,54.76,72.1,54.82,0.23,4.71,0.69,0.37
Passer,Russell Wilson,136,48.34,49.06,17.27,61.53,61.73,21.17,50.39,46.3,76.7,46.36,0.2,5.8,0.72,0.28
Passer,Ryan Tannehill,85,50.49,53.01,19.96,63.02,66.4,24.91,47.38,53.6,72.39,53.65,0.19,4.7,0.69,0.15
Passer,Sam Darnold,23,47.06,47.24,19.89,60.33,65.57,24.64,52.02,42.1,78.52,42.14,0.18,5.49,0.7,0.43
Passer,Sam Howell,209,48.92,49.56,18.97,60.31,59.53,23.95,45.33,52.51,68.07,52.56,0.19,4.37,0.65,0.0
Passer,Taylor Heinicke,47,45.98,45.92,19.99,56.68,58.76,24.12,46.33,45.63,67.69,45.67,0.21,4.87,0.51,-0.24
Passer,Taysom Hill,8,57.14,62.78,22.11,75.03,78.63,21.15,64.27,50.02,100.0,50.05,0.0,8.7,0.5,0.2
Passer,Tim Boyle,33,49.64,48.69,18.59,62.19,59.03,22.23,51.44,47.84,76.5,47.88,0.17,5.25,0.58,-0.03
Passer,Tommy DeVito,58,48.41,45.67,18.98,59.92,60.79,23.76,45.34,51.47,68.3,51.53,0.25,5.03,0.62,-0.02
Passer,Trevor Lawrence,225,49.67,50.67,19.84,63.14,64.35,23.5,54.48,44.86,81.39,44.9,0.12,5.45,0.65,0.09
Passer,Trevor Siemian,59,49.67,48.95,18.55,60.98,61.05,23.05,45.91,53.43,68.5,53.47,0.18,4.2,0.51,-0.37
Passer,Tua Tagovailoa,204,52.47,51.23,17.7,66.78,68.31,21.16,54.45,50.48,83.02,50.55,0.08,4.93,0.71,0.43
Passer,Tyler Huntley,16,52.83,50.83,18.0,63.67,58.45,19.95,48.73,56.92,70.36,56.98,0.24,4.43,0.62,0.51
Passer,Tyrod Taylor,66,53.28,51.93,17.21,66.18,64.93,21.28,52.36,54.19,78.11,54.24,0.16,4.26,0.74,0.23
Passer,Tyson Bagent,46,50.49,52.45,17.12,63.52,68.97,21.82,50.16,50.82,76.17,50.87,0.17,4.28,0.76,0.12
Passer,Will Levis,88,51.95,53.4,17.89,66.02,68.68,21.93,51.96,51.93,80.05,51.99,0.1,5.24,0.67,0.26
Passer,Zach Wilson,135,49.96,50.37,19.87,62.83,67.4,24.77,50.84,49.07,76.54,49.12,0.2,4.52,0.64,-0.04
Route Type,CORNER,261,49.81,49.43,16.59,67.35,68.65,20.84,49.81,49.81,84.69,50.0,0.07,10.81,0.5,0.47
Route Type,CROSS,760,49.93,49.57,16.3,65.54,66.04,20.43,49.93,49.93,81.09,50.0,0.07,5.57,0.7,0.25
Route Type,HITCH,1318,49.96,50.64,21.56,56.84,58.26,24.55,49.96,49.96,63.68,50.0,0.36,3.34,0.75,0.16
